Backgrounds/Map_4_Asteroids.png
ambient/space_ambience.mp3
80
120
1
1, 144, 1200, 3, 4, 3
1, 288, 1200, 3, 4, 3

1, 288, 1200, 5, 4, 3
1, 432, 1200, 5, 4, 3

1, 432, 1200, 7, 4, 3
1, 576, 1200, 7, 4, 3

1, 144, 1200, 9, 4, 3
1, 576, 1200, 9, 4, 3

1, 288, 1200, 11, 4, 3
1, 576, 1200, 11, 4, 3

1, 144, 1200, 13, 4, 3
1, 432, 1200, 13, 4, 3

3, 360, 1200, 15, 4, 9
3, 180, 1200, 17, 4, 9
3, 540, 1200, 19, 4, 9

1, 144, 1200, 21, 4, 1
1, 288, 1200, 21, 4, 1
1, 432, 1200, 21, 4, 1
1, 576, 1200, 21, 4, 1

2, 180, 1200, 23, 4, 4
2, 180, 1200, 24, 4, 4
2, 540, 1200, 25, 4, 5
2, 540, 1200, 26, 4, 5

2, 288, 1200, 27, 4, 1
2, 432, 1200, 27, 4, 1
2, 576, 1200, 27, 4, 1

2, 144, 1200, 29, 4, 1
2, 288, 1200, 29, 4, 1
2, 432, 1200, 29, 4, 1

1, 144, 1200, 31, 4, 1
1, 288, 1200, 32, 4, 1
1, 432, 1200, 33, 4, 1
1, 576, 1200, 34, 4, 1
1, 432, 1200, 35, 4, 1
1, 288, 1200, 36, 4, 1
1, 144, 1200, 37, 4, 1
1, 288, 1200, 38, 4, 1
1, 432, 1200, 39, 4, 1
1, 576, 1200, 40, 4, 1

5, 360, 1200, 42, 4, 7
5, 180, 1200, 43, 4, 7
5, 540, 1200, 44, 4, 7

2, 288, 1200, 46, 4, 1
2, 432, 1200, 46, 4, 1
2, 576, 1200, 46, 4, 1

2, 144, 1200, 48, 4, 1
2, 288, 1200, 48, 4, 1
2, 432, 1200, 48, 4, 1

6, 360, 1200, 50, 4, 6

1, 144, 1200, 56, 4, 1
1, 288, 1200, 57, 4, 1
1, 432, 1200, 58, 4, 1
1, 576, 1200, 59, 4, 1
1, 432, 1200, 60, 4, 1
1, 288, 1200, 61, 4, 1
1, 144, 1200, 62, 4, 1
1, 288, 1200, 63, 4, 1
1, 432, 1200, 64, 4, 1
1, 576, 1200, 65, 4, 1

5, 540, 1200, 67, 4, 7
5, 180, 1200, 68, 4, 7
5, 540, 1200, 69, 4, 7

6, 180, 1200, 70, 4, 6
6, 540, 1200, 70, 4, 6










