Backgrounds/Map_1_Forest_VER3.png
music/missionmusic2.mp3
50
120
1
0, 180, 1200, 3, 0, 1
0, 540, 1200, 5, 0, 1
0, 360, 1200, 7, 0, 1

0, 144, 1200, 10, 0, 3
0, 288, 1200, 11, 0, 3
0, 432, 1200, 12, 0, 3
0, 576, 1200, 13, 0, 3

4, 360, 1200, 15, 4, 9

0, 180, 1200, 17, 0, 1
0, 540, 1200, 19, 0, 1

4, 288, 1200, 20, 4, 9

0, 360, 1200, 21, 0, 1

4, 576, 1200, 23, 4, 9

4, 360, 1200, 24, 4, 9

4, 144, 1200, 25, 4, 9
0, 540, 1200, 25, 4, 1
0, 360, 1200, 26, 0, 1
0, 180, 1200, 27, 0, 1
0, 144, 1200, 30, 0, 3
0, 288, 1200, 31, 0, 3
0, 432, 1200, 32, 0, 3
0, 576, 1200, 33, 0, 3

3, 360, 1200, 36, 4, 6



